datetime,PredictedTraffic,ActualTraffic,is_null_anomaly,deviation,is_deviation_anomaly,site_name
2026-03-05 16:00:00+00:00,0.23530799,1.8569,False,6.891359694696785,True,1_L5
2026-03-05 17:00:00+00:00,0.23595507,1.7242,False,6.307323244345306,True,1_L5
2026-03-05 18:00:00+00:00,0.23638286,1.6882,False,6.1418038586846375,True,1_L5
2026-03-05 19:00:00+00:00,0.23674043,1.8444,False,6.790811384305569,True,1_L5
2026-03-05 20:00:00+00:00,0.23699653,2.0954,False,7.841479606714247,True,1_L5
2026-03-05 21:00:00+00:00,0.23716664,1.9155,False,7.076599536164399,True,1_L5
2026-03-05 22:00:00+00:00,0.23725776,1.5626,False,5.5860858475003825,True,1_L5
2026-03-05 07:00:00+00:00,0.1753664,0.4161,False,1.3727464099845013,True,1_L7
2026-03-05 08:00:00+00:00,0.17318828,0.3637,False,1.100026580995828,True,1_L7
2026-03-05 10:00:00+00:00,0.16996169,1.4783,False,7.697842391119852,True,1_L7
2026-03-05 11:00:00+00:00,0.1687214,0.6973,False,3.132848767021226,True,1_L7
2026-03-05 12:00:00+00:00,0.16778712,1.1619,False,5.924846208442395,True,1_L7
2026-03-05 13:00:00+00:00,0.16752075,0.765,False,3.5665985591516622,True,1_L7
2026-03-05 14:00:00+00:00,0.16693664,0.7186,False,3.30462729657818,True,1_L7
2026-03-05 15:00:00+00:00,0.16661419,0.5128,False,2.077769071097259,True,1_L7
2026-03-05 16:00:00+00:00,0.16693498,0.9233,False,4.530895856925985,True,1_L7
2026-03-05 18:00:00+00:00,0.1674547,0.356,False,1.1259480332933043,True,1_L7
2026-03-05 03:00:00+00:00,0.1462655,0.3083,False,1.107810698928412,True,1_L8
2026-03-05 06:00:00+00:00,0.13786024,0.3492,False,1.533000114228347,True,1_L8
2026-03-05 07:00:00+00:00,0.13552767,0.3965,False,1.9256018263884278,True,1_L8
2026-03-05 08:00:00+00:00,0.13314912,0.5398,False,3.054101230442306,True,1_L8
2026-03-05 09:00:00+00:00,0.13093631,0.4718,False,2.603278579472122,True,1_L8
2026-03-05 10:00:00+00:00,0.12925825,0.6544,False,4.062733126517256,True,1_L8
2026-03-05 11:00:00+00:00,0.12759152,0.5683,False,3.4540577427071137,True,1_L8
2026-03-05 12:00:00+00:00,0.12604879,1.5003,False,10.902534079915677,True,1_L8
2026-03-05 13:00:00+00:00,0.12470022,0.7669,False,5.149949130798985,True,1_L8
2026-03-05 14:00:00+00:00,0.1234274,0.5501,False,3.4568710567727137,True,1_L8
2026-03-05 15:00:00+00:00,0.12193834,0.6316,False,4.179667019452855,True,1_L8
2026-03-05 16:00:00+00:00,0.12073802,0.619,False,4.126802556441356,True,1_L8
2026-03-05 17:00:00+00:00,0.12024655,0.524,False,3.3577133114062088,True,1_L8
2026-03-05 18:00:00+00:00,0.11979026,0.4759,False,2.972776970336504,True,1_L8
2026-03-05 22:00:00+00:00,0.11833592,0.2785,False,1.353469729791602,True,1_L8
2026-03-05 11:00:00+00:00,62.150112,125.9551,False,1.0266270749721387,True,AM0005
2026-03-05 12:00:00+00:00,60.330933,128.11,False,1.1234546598655286,True,AM0005
2026-03-05 13:00:00+00:00,58.575497,133.5807,False,1.2804877053691532,True,AM0005
2026-03-05 14:00:00+00:00,56.84637,141.02100000000002,False,1.4807388452573444,True,AM0005
2026-03-05 15:00:00+00:00,55.14894,130.1671,False,1.3602828548511292,True,AM0005
2026-03-05 16:00:00+00:00,53.560253,123.7409,False,1.3103120828967687,True,AM0005
2026-03-05 17:00:00+00:00,52.057217,127.58400000000002,False,1.4508417511407885,True,AM0005
2026-03-05 19:00:00+00:00,49.24709,146.3703,False,1.9721614378625771,True,AM0005
2026-03-05 20:00:00+00:00,47.854263,151.51929999999996,False,2.1662654387172653,True,AM0005
2026-03-05 21:00:00+00:00,46.523926,153.61700000000002,False,2.301892465444318,True,AM0005
2026-03-05 22:00:00+00:00,45.246334,170.41930000000002,False,2.7664775164772446,True,AM0005
2026-03-05 23:00:00+00:00,44.025055,146.8117,False,2.334730648898908,True,AM0005
2026-03-05 06:00:00+00:00,24.79587,55.05400000000001,False,1.2202891200635195,True,AM0008
2026-03-05 07:00:00+00:00,24.202608,81.63940000000001,False,2.3731653891986513,True,AM0008
2026-03-05 08:00:00+00:00,23.76777,100.47579999999996,False,3.2273968805946334,True,AM0008
2026-03-05 09:00:00+00:00,23.451374,110.9077,False,3.729262334259489,True,AM0008
2026-03-05 10:00:00+00:00,23.221996,118.13809999999998,False,4.087336094463628,True,AM0008
2026-03-05 11:00:00+00:00,23.056252,119.1292,False,4.166893667267918,True,AM0008
2026-03-05 12:00:00+00:00,22.936823,128.4074,False,4.598308039823039,True,AM0008
2026-03-05 13:00:00+00:00,22.850954,132.91789999999995,False,4.816733063989665,True,AM0008
2026-03-05 14:00:00+00:00,22.788734,139.6542,False,5.1282121827339795,True,AM0008
2026-03-05 15:00:00+00:00,22.743382,135.3499,False,4.951177488648602,True,AM0008
2026-03-05 16:00:00+00:00,22.710129,123.5949,False,4.442280894774079,True,AM0008
2026-03-05 17:00:00+00:00,22.685589,103.81609999999998,False,3.576301754715194,True,AM0008
2026-03-05 18:00:00+00:00,22.667536,101.2339,False,3.46603022817382,True,AM0008
2026-03-05 19:00:00+00:00,22.653576,127.2901,False,4.61898486038307,True,AM0008
2026-03-05 20:00:00+00:00,22.64267,140.14950000000002,False,5.1896190685418935,True,AM0008
2026-03-05 21:00:00+00:00,22.633919,141.47860000000003,False,5.250733754343671,True,AM0008
2026-03-05 22:00:00+00:00,22.626474,143.27130000000002,False,5.332020516794155,True,AM0008
2026-03-05 23:00:00+00:00,22.619564,105.1545,False,3.6488296475485713,True,AM0008
2026-03-05 10:00:00+00:00,55.350124,111.05150000000005,False,1.0063459890254136,True,AM0010
2026-03-05 11:00:00+00:00,54.46924,120.263,False,1.2079067707726374,True,AM0010
2026-03-05 12:00:00+00:00,53.698154,130.52420000000004,False,1.4307017873927246,True,AM0010
2026-03-05 13:00:00+00:00,53.024654,132.25589999999997,False,1.494234078946942,True,AM0010
2026-03-05 14:00:00+00:00,52.437588,142.1441,False,1.7107291950596673,True,AM0010
2026-03-05 15:00:00+00:00,51.922497,128.2526,False,1.470077671818244,True,AM0010
2026-03-05 16:00:00+00:00,51.47665,125.15279999999998,False,1.4312537708120354,True,AM0010
2026-03-05 17:00:00+00:00,51.08344,122.16789999999996,False,1.3915363314327585,True,AM0010
2026-03-05 18:00:00+00:00,50.74587,111.6127,False,1.199444070955387,True,AM0010
2026-03-05 19:00:00+00:00,50.45966,141.23979999999997,False,1.7990636715673176,True,AM0010
2026-03-05 20:00:00+00:00,50.18923,139.1073,False,1.771656285818914,True,AM0010
2026-03-05 21:00:00+00:00,49.950207,131.445,False,1.631520638954183,True,AM0010
2026-03-05 22:00:00+00:00,49.743217,143.99869999999996,False,1.8948408914617803,True,AM0010
2026-03-05 23:00:00+00:00,49.56115,135.81390000000002,False,1.740329897588992,True,AM0010
2026-03-05 10:00:00+00:00,49.0967,102.4747,False,1.0872014328065045,True,AM0011
2026-03-05 11:00:00+00:00,47.99652,108.8485,False,1.2678414547766652,True,AM0011
2026-03-05 12:00:00+00:00,46.939922,115.9174,False,1.4694842734984805,True,AM0011
2026-03-05 13:00:00+00:00,45.923946,123.1313,False,1.6812003258494883,True,AM0011
2026-03-05 14:00:00+00:00,44.902252,135.6619,False,2.021271614706696,True,AM0011
2026-03-05 15:00:00+00:00,43.951298,136.6018,False,2.1080265421489033,True,AM0011
2026-03-05 16:00:00+00:00,43.059586,115.7772,False,1.6887671691201092,True,AM0011
2026-03-05 17:00:00+00:00,42.244312,107.3659,False,1.5415468778887804,True,AM0011
2026-03-05 18:00:00+00:00,41.49994,113.953,False,1.7458594600954505,True,AM0011
2026-03-05 19:00:00+00:00,40.79743,140.80069999999998,False,2.451215099822801,True,AM0011
2026-03-05 20:00:00+00:00,40.06431,153.8491,False,2.8400538294737556,True,AM0011
2026-03-05 21:00:00+00:00,39.32979,155.81709999999998,False,2.96180877394795,True,AM0011
2026-03-05 22:00:00+00:00,38.625416,150.7937,False,2.904001985971744,True,AM0011
2026-03-05 23:00:00+00:00,38.020355,109.4119,False,1.8777190363855711,True,AM0011
2026-03-05 00:00:00+00:00,55.257023,205.6634,False,2.721941381636842,True,AM0014
2026-03-05 01:00:00+00:00,56.81745,128.29,False,1.2579330234799038,True,AM0014
2026-03-05 05:00:00+00:00,66.07821,181.3494,False,1.7444660343380554,True,AM0014
2026-03-05 06:00:00+00:00,66.844246,158.13709999999998,False,1.3657548655929654,True,AM0014
2026-03-05 07:00:00+00:00,67.21916,152.77120000000002,False,1.2727328857335811,True,AM0014
2026-03-05 08:00:00+00:00,67.32834,170.92969999999997,False,1.5387482224533868,True,AM0014
2026-03-05 09:00:00+00:00,67.27689,185.6848,False,1.7600085262647343,True,AM0014
2026-03-05 10:00:00+00:00,67.14081,194.7047,False,1.8999457333630294,True,AM0014
2026-03-05 11:00:00+00:00,66.973724,205.4632,False,2.067818042782381,True,AM0014
2026-03-05 12:00:00+00:00,66.8093,219.6004,False,2.286973358598187,True,AM0014
2026-03-05 13:00:00+00:00,66.66496,222.0403000000001,False,2.3306896273365156,True,AM0014
2026-03-05 14:00:00+00:00,66.54944,231.7989,False,2.483108277189076,True,AM0014
2026-03-05 15:00:00+00:00,66.46385,217.3517,False,2.270224245099896,True,AM0014
2026-03-05 16:00:00+00:00,66.40435,212.6573,False,2.2024603674438756,True,AM0014
2026-03-05 17:00:00+00:00,66.367035,211.077,False,2.1804494547561406,True,AM0014
2026-03-05 18:00:00+00:00,66.34895,173.5266,False,1.6153630390191904,True,AM0014
2026-03-05 19:00:00+00:00,66.34129,222.6235,False,2.3557304780894364,True,AM0014
2026-03-05 20:00:00+00:00,66.34815,232.3055,False,2.501310774074515,True,AM0014
2026-03-05 21:00:00+00:00,66.36186,232.2576,False,2.4998656210228756,True,AM0014
2026-03-05 22:00:00+00:00,66.378944,250.5127,False,2.7739783643113363,True,AM0014
2026-03-05 23:00:00+00:00,66.3972,248.5048,False,2.742699906673864,True,AM0014
2026-03-05 10:00:00+00:00,38.669167,86.16050000000001,False,1.2281447378831183,True,AM0015
2026-03-05 11:00:00+00:00,37.5666,87.83740000000003,False,1.3381780126624485,True,AM0015
2026-03-05 12:00:00+00:00,36.58873,93.26,False,1.548872299227776,True,AM0015
2026-03-05 13:00:00+00:00,35.71703,90.8131,False,1.542571459312475,True,AM0015
2026-03-05 14:00:00+00:00,34.94025,99.6994,False,1.8534254582598795,True,AM0015
2026-03-05 15:00:00+00:00,34.246574,97.7019,False,1.8528955583571167,True,AM0015
2026-03-05 16:00:00+00:00,33.633495,88.11179999999999,False,1.6197633975700303,True,AM0015
2026-03-05 17:00:00+00:00,33.09097,80.37519999999999,False,1.4289164754243968,True,AM0015
2026-03-05 18:00:00+00:00,32.612846,87.37819999999999,False,1.6792570938637743,True,AM0015
2026-03-05 19:00:00+00:00,32.188274,105.6522,False,2.2823194788600043,True,AM0015
2026-03-05 20:00:00+00:00,31.805223,111.69510000000002,False,2.5118476725382775,True,AM0015
2026-03-05 21:00:00+00:00,31.460894,110.1069,False,2.499802049219958,True,AM0015
2026-03-05 22:00:00+00:00,31.152412,99.998,False,2.2099600720903583,True,AM0015
2026-03-05 23:00:00+00:00,30.882717,72.223,False,1.338621944758705,True,AM0015
2026-03-05 13:00:00+00:00,34.495514,81.0465,False,1.3494794191882329,True,AM0016
2026-03-05 14:00:00+00:00,33.924408,88.82749999999999,False,1.6183949947599703,True,AM0016
2026-03-05 15:00:00+00:00,33.35965,90.5511,False,1.7143900169147468,True,AM0016
2026-03-05 16:00:00+00:00,32.83774,77.4275,False,1.3578813777580188,True,AM0016
2026-03-05 17:00:00+00:00,32.38761,64.8084,False,1.0010243800100305,True,AM0016
2026-03-05 18:00:00+00:00,32.004597,66.119,False,1.0659219861038618,True,AM0016
2026-03-05 19:00:00+00:00,31.62267,94.1664,False,1.9778131423684808,True,AM0016
2026-03-05 20:00:00+00:00,31.220053,105.1833,False,2.3690942467754286,True,AM0016
2026-03-05 21:00:00+00:00,30.79389,107.1854,False,2.4807359512593075,True,AM0016
2026-03-05 22:00:00+00:00,30.394054,102.76139999999998,False,2.3809704557409175,True,AM0016
2026-03-05 07:00:00+00:00,8.34931,18.8009,False,1.2517908877854034,True,AM0017
2026-03-05 08:00:00+00:00,8.287336,23.1077,False,1.7883144867686656,True,AM0017
2026-03-05 09:00:00+00:00,8.236799,27.8822,False,2.3850770411177145,True,AM0017
2026-03-05 10:00:00+00:00,8.193723,30.727400000000003,False,2.750114695310299,True,AM0017
2026-03-05 11:00:00+00:00,8.155821,27.7457,False,2.401950646293416,True,AM0017
2026-03-05 12:00:00+00:00,8.121995,29.189300000000003,False,2.593858417766205,True,AM0017
